source_path,FY,period,scenario_name,output_series_id,output_label,formula,observed_value,calculated_value,residual,residual_abs,status,missing_inputs
Current finalist Base case,2025,FY2025,current_basecase,gross_fed_revenue,Gross FED,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,2067.62792391,2067.62792391,0.0,0.0,reconciled,
Current finalist Base case,2025,FY2025,current_basecase,gross_mvr_revenue,Gross MVR,mr1_revenue + mr2_revenue + coo_revenue,359.593104643043,359.5931046430431,-1.1368683772161603e-13,1.1368683772161603e-13,reconciled,
Current finalist Base case,2025,FY2025,current_basecase,gross_ruc_revenue,Gross RUC,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,2073.99076259,2073.990762589996,4.092726157978177e-12,4.092726157978177e-12,reconciled,
Current finalist Base case,2025,FY2025,current_basecase,mvr_revenue_net_admin_coo,MVR net admin & COO,mr1_revenue + mr2_revenue - mvr_admin_revenue,287.82906373,287.82906372999975,2.2737367544323206e-13,2.2737367544323206e-13,reconciled,
Current finalist Base case,2025,FY2025,current_basecase,net_fed_revenue,Net FED,gross_fed_revenue - fed_refunds,1997.7271466,1997.7271466,0.0,0.0,reconciled,
Current finalist Base case,2025,FY2025,current_basecase,net_mvr_revenue,MVR net admin/refunds/COO,mvr_revenue_net_admin_coo - mvr_refunds,286.79349111,286.79349111,0.0,0.0,reconciled,
Current finalist Base case,2025,FY2025,current_basecase,ruc_revenue_net_admin,RUC net admin,gross_ruc_revenue - ruc_admin_revenue,2041.72489453783,2041.7248945378262,3.865352482534945e-12,3.865352482534945e-12,reconciled,
Current finalist Base case,2025,FY2025,current_basecase,total_admin_fees,Total admin fees,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,104.029908965217,104.02990896521729,-2.8421709430404007e-13,2.8421709430404007e-13,reconciled,
Current finalist Base case,2025,FY2025,current_basecase,total_gross_revenue,Total gross revenues,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,4518.30660152304,4518.306601523043,-3.637978807091713e-12,3.637978807091713e-12,reconciled,
Current finalist Base case,2025,FY2025,current_basecase,total_nltf_net_revenue,Total NLTF revenue,total_revenue_net_admin - total_refunds,4280.78411583783,4280.78411583783,0.0,0.0,reconciled,
Current finalist Base case,2025,FY2025,current_basecase,total_refunds,Total refunds,ruc_refunds + fed_refunds + mvr_refunds,133.49257672,133.49257672,0.0,0.0,reconciled,
Current finalist Base case,2025,FY2025,current_basecase,total_revenue_net_admin,Total revenues net of admin fees,total_gross_revenue - total_admin_fees,4414.27669255783,4414.276692557823,7.275957614183426e-12,7.275957614183426e-12,reconciled,
Current finalist Base case,2025,FY2025,current_basecase,total_ruc_net_revenue,RUC net admin/refunds,ruc_revenue_net_admin - ruc_refunds,1979.16866774783,1979.16866774783,0.0,0.0,reconciled,
Current finalist Base case,2026,FY2026,current_basecase,gross_fed_revenue,Gross FED,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,2098.82866797998,2098.82866797998,0.0,0.0,reconciled,
Current finalist Base case,2026,FY2026,current_basecase,gross_mvr_revenue,Gross MVR,mr1_revenue + mr2_revenue + coo_revenue,499.5565306356284,499.5565306356284,0.0,0.0,reconciled,
Current finalist Base case,2026,FY2026,current_basecase,gross_ruc_revenue,Gross RUC,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,2135.8271356868354,2135.8271356868354,0.0,0.0,reconciled,
Current finalist Base case,2026,FY2026,current_basecase,mvr_revenue_net_admin_coo,MVR net admin & COO,mr1_revenue + mr2_revenue - mvr_admin_revenue,426.8459632163559,426.84596321635587,5.684341886080802e-14,5.684341886080802e-14,reconciled,
Current finalist Base case,2026,FY2026,current_basecase,net_fed_revenue,Net FED,gross_fed_revenue - fed_refunds,2025.5611432843793,2025.5611432843793,0.0,0.0,reconciled,
Current finalist Base case,2026,FY2026,current_basecase,net_mvr_revenue,MVR net admin/refunds/COO,mvr_revenue_net_admin_coo - mvr_refunds,425.1291935285919,425.1291935285919,0.0,0.0,reconciled,
Current finalist Base case,2026,FY2026,current_basecase,ruc_revenue_net_admin,RUC net admin,gross_ruc_revenue - ruc_admin_revenue,2101.2562644807554,2101.2562644807554,0.0,0.0,reconciled,
Current finalist Base case,2026,FY2026,current_basecase,total_admin_fees,Total admin fees,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,107.2814386253525,107.2814386253525,0.0,0.0,reconciled,
Current finalist Base case,2026,FY2026,current_basecase,total_gross_revenue,Total gross revenues,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,4751.618411788856,4751.618411788856,0.0,0.0,reconciled,
Current finalist Base case,2026,FY2026,current_basecase,total_nltf_net_revenue,Total NLTF revenue,total_revenue_net_admin - total_refunds,4501.467644777026,4501.467644777026,0.0,0.0,reconciled,
Current finalist Base case,2026,FY2026,current_basecase,total_refunds,Total refunds,ruc_refunds + fed_refunds + mvr_refunds,142.86932838647772,142.86932838647772,0.0,0.0,reconciled,
Current finalist Base case,2026,FY2026,current_basecase,total_revenue_net_admin,Total revenues net of admin fees,total_gross_revenue - total_admin_fees,4644.336973163504,4644.336973163504,0.0,0.0,reconciled,
