engine,comparison_basis,fy,stream,series_id,current_value,official_value,gap_current_minus_official,current_basis,official_basis,app_default_policy_state,bases_coincide,note,current_same_chain_published_value,policy_effect,display_chain_effect_vs_committed
ensemble,policy_normalised,2026,total_nltf,total_nltf_net_revenue,4599.805745017675,4493.65132567772,106.15441933995498,committed_pack_rows_published_policy,BEFU26_published,delayed_6m,False,The committed pack rows ARE the published-policy basis. Official side is always the published vintage; delayed-vs-delayed is never the standard comparison.,,,
ensemble,actual_default_ui,2026,total_nltf,total_nltf_net_revenue,4598.506910999378,4493.65132567772,104.85558532165851,app_cached_overlay_default_policy_delayed_6m,BEFU26_published,delayed_6m,False,Derived via the app's cached overlay helpers (same route as scripts/build_corrected_mbu26_reconciliation.py actual_default_ui). Official side stays published; delayed-vs-delayed is never the standard comparison.,4598.506910999378,0.0,-1.2988340182964748
ensemble,policy_normalised,2026,net_fed,net_fed_revenue,2114.6925455991745,2007.89765301342,106.7948925857545,committed_pack_rows_published_policy,BEFU26_published,delayed_6m,False,The committed pack rows ARE the published-policy basis. Official side is always the published vintage; delayed-vs-delayed is never the standard comparison.,,,
ensemble,actual_default_ui,2026,net_fed,net_fed_revenue,2115.2065453607556,2007.89765301342,107.30889234733559,app_cached_overlay_default_policy_delayed_6m,BEFU26_published,delayed_6m,False,Derived via the app's cached overlay helpers (same route as scripts/build_corrected_mbu26_reconciliation.py actual_default_ui). Official side stays published; delayed-vs-delayed is never the standard comparison.,2115.2065453607556,0.0,0.5139997615810898
ensemble,policy_normalised,2026,gross_ped,gross_ped_revenue,2145.0341891615885,2038.23929657583,106.79489258575859,committed_pack_rows_published_policy,BEFU26_published,delayed_6m,False,The committed pack rows ARE the published-policy basis. Official side is always the published vintage; delayed-vs-delayed is never the standard comparison.,,,
ensemble,actual_default_ui,2026,gross_ped,gross_ped_revenue,2145.5481889231696,2038.23929657583,107.30889234733968,app_cached_overlay_default_policy_delayed_6m,BEFU26_published,delayed_6m,False,Derived via the app's cached overlay helpers (same route as scripts/build_corrected_mbu26_reconciliation.py actual_default_ui). Official side stays published; delayed-vs-delayed is never the standard comparison.,2145.5481889231696,0.0,0.5139997615810898
ensemble,policy_normalised,2026,total_ruc,total_ruc_net_revenue,2073.8323474108515,2074.47282065665,-0.6404732457986029,committed_pack_rows_published_policy,BEFU26_published,delayed_6m,False,The committed pack rows ARE the published-policy basis. Official side is always the published vintage; delayed-vs-delayed is never the standard comparison.,,,
ensemble,actual_default_ui,2026,total_ruc,total_ruc_net_revenue,2072.019513630974,2074.47282065665,-2.4533070256761675,app_cached_overlay_default_policy_delayed_6m,BEFU26_published,delayed_6m,False,Derived via the app's cached overlay helpers (same route as scripts/build_corrected_mbu26_reconciliation.py actual_default_ui). Official side stays published; delayed-vs-delayed is never the standard comparison.,2072.019513630974,0.0,-1.8128337798775647
ensemble,policy_normalised,2026,light_ruc_conventional,light_ruc_net_revenue,867.4389604921547,860.866112388873,6.572848103281672,committed_pack_rows_published_policy,BEFU26_published,delayed_6m,False,The committed pack rows ARE the published-policy basis. Official side is always the published vintage; delayed-vs-delayed is never the standard comparison.,,,
ensemble,actual_default_ui,2026,light_ruc_conventional,light_ruc_net_revenue,866.4745234882769,860.866112388873,5.608411099403838,app_cached_overlay_default_policy_delayed_6m,BEFU26_published,delayed_6m,False,Derived via the app's cached overlay helpers (same route as scripts/build_corrected_mbu26_reconciliation.py actual_default_ui). Official side stays published; delayed-vs-delayed is never the standard comparison.,866.4745234882769,0.0,-0.9644370038778334
ensemble,policy_normalised,2026,light_bev,light_bev_ruc_net_revenue,83.42985462699842,81.4648074039889,1.9650472230095204,committed_pack_rows_published_policy,BEFU26_published,delayed_6m,False,The committed pack rows ARE the published-policy basis. Official side is always the published vintage; delayed-vs-delayed is never the standard comparison.,,,
ensemble,actual_default_ui,2026,light_bev,light_bev_ruc_net_revenue,83.3370955480371,81.4648074039889,1.8722881440481984,app_cached_overlay_default_policy_delayed_6m,BEFU26_published,delayed_6m,False,Derived via the app's cached overlay helpers (same route as scripts/build_corrected_mbu26_reconciliation.py actual_default_ui). Official side stays published; delayed-vs-delayed is never the standard comparison.,83.3370955480371,0.0,-0.09275907896132196
ensemble,policy_normalised,2026,phev,phev_ruc_net_revenue,22.36468085801796,21.8403214998817,0.5243593581362589,committed_pack_rows_published_policy,BEFU26_published,delayed_6m,False,The committed pack rows ARE the published-policy basis. Official side is always the published vintage; delayed-vs-delayed is never the standard comparison.,,,
ensemble,actual_default_ui,2026,phev,phev_ruc_net_revenue,22.33981533227866,21.8403214998817,0.4994938323969613,app_cached_overlay_default_policy_delayed_6m,BEFU26_published,delayed_6m,False,Derived via the app's cached overlay helpers (same route as scripts/build_corrected_mbu26_reconciliation.py actual_default_ui). Official side stays published; delayed-vs-delayed is never the standard comparison.,22.33981533227866,0.0,-0.024865525739297567
ensemble,policy_normalised,2026,heavy_ruc_conventional,heavy_ruc_net_revenue,1134.8364690215053,1144.54055343658,-9.704084415074703,committed_pack_rows_published_policy,BEFU26_published,delayed_6m,False,The committed pack rows ARE the published-policy basis. Official side is always the published vintage; delayed-vs-delayed is never the standard comparison.,,,
