stream,stream_label,scenario,diagnostic_test,pass_status,model,source_dataset,value_available,default_score_basis
PED,PED VKT per capita,Finalist,Calibration R2,Pass,PED__RESCUE_static_annual_weighted_top12_capnone,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
PED,PED VKT per capita,Finalist,Durbin-Watson,Fail,PED__RESCUE_static_annual_weighted_top12_capnone,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
PED,PED VKT per capita,Finalist,ADF,Pass,PED__RESCUE_static_annual_weighted_top12_capnone,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
PED,PED VKT per capita,Finalist,KPSS,Pass,PED__RESCUE_static_annual_weighted_top12_capnone,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
PED,PED VKT per capita,Finalist,Breusch-Pagan,Pass,PED__RESCUE_static_annual_weighted_top12_capnone,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
PED,PED VKT per capita,Finalist,White,Fail,PED__RESCUE_static_annual_weighted_top12_capnone,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
PED,PED VKT per capita,Finalist,Jarque-Bera,Watch,PED__RESCUE_static_annual_weighted_top12_capnone,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
PED,PED VKT per capita,Finalist,Cointegration,Pass,PED__RESCUE_static_annual_weighted_top12_capnone,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
PED,PED VKT per capita,Finalist,Overall,Fail,PED__RESCUE_static_annual_weighted_top12_capnone,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
LIGHT_RUC,Light RUC volume,Finalist,Calibration R2,Pass,LIGHT_RUC__RESCUE_static_bias_penalty_top25_cap0p4,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
LIGHT_RUC,Light RUC volume,Finalist,Durbin-Watson,Pass,LIGHT_RUC__RESCUE_static_bias_penalty_top25_cap0p4,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
LIGHT_RUC,Light RUC volume,Finalist,ADF,Pass,LIGHT_RUC__RESCUE_static_bias_penalty_top25_cap0p4,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
LIGHT_RUC,Light RUC volume,Finalist,KPSS,Pass,LIGHT_RUC__RESCUE_static_bias_penalty_top25_cap0p4,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
LIGHT_RUC,Light RUC volume,Finalist,Breusch-Pagan,Pass,LIGHT_RUC__RESCUE_static_bias_penalty_top25_cap0p4,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
LIGHT_RUC,Light RUC volume,Finalist,White,Pass,LIGHT_RUC__RESCUE_static_bias_penalty_top25_cap0p4,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
LIGHT_RUC,Light RUC volume,Finalist,Jarque-Bera,Watch,LIGHT_RUC__RESCUE_static_bias_penalty_top25_cap0p4,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
LIGHT_RUC,Light RUC volume,Finalist,Cointegration,Pass,LIGHT_RUC__RESCUE_static_bias_penalty_top25_cap0p4,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
LIGHT_RUC,Light RUC volume,Finalist,Overall,Watch,LIGHT_RUC__RESCUE_static_bias_penalty_top25_cap0p4,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
HEAVY_RUC,Heavy RUC volume,Finalist,Calibration R2,Pass,HEAVY_RUC__RECON_STATIC_REBUILT,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
HEAVY_RUC,Heavy RUC volume,Finalist,Durbin-Watson,Pass,HEAVY_RUC__RECON_STATIC_REBUILT,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
HEAVY_RUC,Heavy RUC volume,Finalist,ADF,Pass,HEAVY_RUC__RECON_STATIC_REBUILT,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
HEAVY_RUC,Heavy RUC volume,Finalist,KPSS,Pass,HEAVY_RUC__RECON_STATIC_REBUILT,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
HEAVY_RUC,Heavy RUC volume,Finalist,Breusch-Pagan,Pass,HEAVY_RUC__RECON_STATIC_REBUILT,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
HEAVY_RUC,Heavy RUC volume,Finalist,White,Pass,HEAVY_RUC__RECON_STATIC_REBUILT,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
HEAVY_RUC,Heavy RUC volume,Finalist,Jarque-Bera,Watch,HEAVY_RUC__RECON_STATIC_REBUILT,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
HEAVY_RUC,Heavy RUC volume,Finalist,Cointegration,Pass,HEAVY_RUC__RECON_STATIC_REBUILT,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
HEAVY_RUC,Heavy RUC volume,Finalist,Overall,Watch,HEAVY_RUC__RECON_STATIC_REBUILT,model_diagnostic_audit_tables.xlsx/H1 diagnostics,True,schiff_paper_horizon_mean
