scenario_name,series_id,source_frame,fy2030_value,fy2031_value,seam_step_pct,prior_year_step_pct,duplicate_points,status
current_basecase,total_nltf_net_revenue,chart_rows,6415.185306413028,6743.367862833624,5.1157143674793515,5.753437018412466,0,continuous
current_basecase,light_ruc_net_km,chart_rows,14129.750867690174,13975.746962431933,-1.089926543647668,2.1416658989323434,0,continuous
current_basecase,heavy_ruc_net_km,chart_rows,4205.391223564057,4243.077952193822,0.8961527388604118,0.8055625630552621,0,continuous
current_basecase,ped_vkt_per_capita,chart_rows,6114.208933600386,6113.39742210443,-0.013272550950893525,-0.3146707528976611,0,continuous
current_basecase,light_petrol_vkt,line_reconciliation,33786.86651454969,34043.2191814063,0.7587346602450085,0.4829622424638691,0,continuous
current_basecase,ped_volume,chart_rows,2958.899456253502,2951.6956855068775,-0.24346115348393704,-0.507085837401211,0,continuous
current_comparison_1,total_nltf_net_revenue,chart_rows,6526.327704588313,6881.92309712073,5.448629131546934,6.214659495983033,0,continuous
current_comparison_1,light_ruc_net_km,chart_rows,14442.85599877819,14285.439477586699,-1.0899265436476568,2.6857337436304363,0,continuous
current_comparison_1,heavy_ruc_net_km,chart_rows,4210.847871284816,4251.3175338658475,0.9610810890843924,0.8131720739334547,0,continuous
current_comparison_1,ped_vkt_per_capita,chart_rows,6103.089432589002,6100.072543068092,-0.04943216962871588,-0.34613421371666453,0,continuous
current_comparison_1,light_petrol_vkt,line_reconciliation,34667.67227539205,35170.433447554395,1.450230543800357,1.1489567557940505,0,continuous
current_comparison_1,ped_volume,chart_rows,3036.036401927321,3049.430082136688,0.44115677272065223,0.15234670189467892,0,continuous
